Country,Electoral Process 2021,Political Rights 2021,Civil Liberties 2021,Democracy Score 2021,Democratic 2021
Afghanistan,3,13,14,30,False
Albania,8,27,39,75,True
Algeria,3,10,22,35,False
Angola,3,10,21,34,False
Argentina,11,35,49,96,True
Armenia,6,22,33,61,False
Australia,12,40,57,110,True
Austria,12,37,56,106,True
Azerbaijan,0,2,8,10,False
Bahrain,2,2,10,14,False
Bangladesh,4,15,24,43,False
Belarus,0,2,9,11,False
Belgium,12,39,57,109,True
Belize,12,34,53,100,True
Benin,5,21,44,70,False
Bhutan,10,30,31,72,True
Bolivia,10,27,39,77,True
Bosnia and Herzegovina,6,19,34,59,False
Botswana,10,28,44,83,True
Brazil,10,31,43,85,True
Bulgaria,11,33,45,90,True
Burkina Faso,7,23,31,62,True
Burundi,1,4,10,15,False
Cambodia,1,5,19,25,False
Cameroon,1,7,9,17,False
Canada,12,40,58,111,True
Central African Republic,2,3,6,11,False
Chad,1,3,14,18,False
Chile,12,38,55,106,True
China,0,-2,11,9,False
Colombia,10,29,36,76,True
Comoros,5,16,26,47,False
Congo (Brazzaville),0,2,18,20,False
Congo (Kinshasa),1,5,15,21,False
Costa Rica,12,38,53,104,True
Croatia,12,36,49,98,True
Cyprus,12,38,56,107,True
Czech Republic,12,36,55,104,True
Denmark,12,40,57,110,True
Djibouti,2,5,19,26,False
Dominican Republic,9,26,41,77,True
Ecuador,8,27,40,76,True
Egypt,2,6,12,20,False
El Salvador,11,30,33,75,True
Estonia,12,38,56,107,True
Ethiopia,2,9,13,24,False
Finland,12,40,60,113,True
France,12,38,52,103,True
Gabon,0,3,19,22,False
Georgia,7,23,37,68,True
Germany,12,39,55,107,True
Ghana,12,35,47,95,True
Greece,12,37,50,100,True
Guatemala,7,21,31,60,True
Guinea,4,14,24,42,False
Haiti,4,15,22,41,False
Honduras,7,19,25,51,False
Hong Kong,2,15,37,54,False
Hungary,9,26,43,79,True
Iceland,12,37,57,107,True
India,12,34,33,80,True
Indonesia,11,30,29,70,False
Iran,3,6,10,19,False
Iraq,8,16,13,37,False
Ireland,12,39,58,110,True
Israel,12,33,43,89,True
Italy,12,36,54,103,True
Jamaica,12,34,46,93,True
Japan,12,40,56,109,True
Jordan,2,11,23,36,False
Kazakhstan,1,5,18,24,False
Kenya,6,19,29,54,False
Kosovo,8,23,31,63,True
Kuwait,3,14,23,40,False
Kyrgyzstan,2,4,24,30,False
Laos,0,2,11,13,False
Latvia,12,37,52,102,True
Lebanon,5,13,30,48,False
Lesotho,10,27,36,74,True
Liberia,8,27,33,69,True
Libya,0,1,8,9,False
Lithuania,12,38,52,103,True
Luxembourg,12,38,59,110,True
Madagascar,9,27,33,70,True
Malawi,9,29,37,76,True
Malaysia,6,21,30,57,False
Maldives,7,19,21,47,False
Mali,2,9,24,35,False
Malta,12,35,55,103,True
Mauritania,6,14,21,41,False
Mauritius,12,37,50,100,True
Mexico,9,27,34,71,True
Moldova,9,26,35,71,True
Mongolia,11,36,48,96,True
Montenegro,9,24,39,73,True
Morocco,5,13,24,42,False
Mozambique,3,14,29,46,False
Myanmar,5,13,15,33,False
Namibia,11,31,46,89,True
Nepal,10,25,31,67,True
Netherlands,12,40,58,111,True
New Zealand,12,40,59,112,True
Nicaragua,3,10,20,33,False
Niger,6,20,28,54,False
Nigeria,6,21,24,51,False
North Macedonia,9,27,39,76,True
Northern Cyprus,9,28,50,88,True
Norway,12,40,60,113,True
Oman,2,6,17,25,False
Pakistan,5,15,22,42,False
Panama,12,35,48,96,True
Paraguay,10,28,37,76,True
Peru,10,29,42,82,True
Philippines,9,25,31,66,True
Poland,10,34,48,93,True
Portugal,12,39,57,109,True
Qatar,2,7,18,27,False
Romania,12,35,48,96,True
Russia,0,5,15,20,False
Rwanda,2,8,13,23,False
Saudi Arabia,0,1,6,7,False
Senegal,9,29,42,81,True
Serbia,7,22,42,72,True
Sierra Leone,10,28,37,76,True
Singapore,4,19,29,52,False
Slovakia,12,37,53,103,True
Slovenia,12,39,56,108,True
Somalia,0,1,6,7,False
South Africa,12,33,46,92,True
South Korea,11,33,50,95,True
South Sudan,1,-2,4,3,False
Spain,12,37,53,103,True
Sri Lanka,9,23,33,66,True
Sudan,0,2,15,17,False
Suriname,11,34,45,91,True
Sweden,12,40,60,113,True
Switzerland,12,39,57,109,True
Syria,0,-3,4,1,False
Taiwan,12,38,56,107,True
Tajikistan,0,0,8,8,False
Tanzania,3,12,22,37,False
Thailand,1,5,25,31,False
Togo,4,15,28,47,False
Trinidad and Tobago,11,33,49,94,True
Tunisia,12,32,39,84,True
Turkey,5,16,16,37,False
Turkmenistan,0,0,2,2,False
Uganda,3,11,23,37,False
Ukraine,9,26,34,70,True
United Arab Emirates,1,5,12,18,False
United Kingdom,12,39,54,106,True
United States,10,32,51,94,True
Uruguay,12,40,58,111,True
Uzbekistan,1,2,9,12,False
Venezuela,0,1,13,14,False
Vietnam,0,3,16,19,False
Yemen,0,1,10,11,False
Zambia,6,20,32,58,False
Zimbabwe,3,11,17,31,False
