Country,2019,2020,2021,2022
Kingdom of Eswatini,8860.06,8744.44,9730.07,10946.94
Chad,1627.92,1570.74,1566.04,1572.17
Togo,2168.33,2180.17,2334.3,2508.73
Thailand,18763.51,17771.31,18760.76,21734.61
Tajikistan,3726.17,3851.94,4288.17,4863.36
Tunisia,11552.57,10571.9,11282.48,13954.4
Turkey,27708.31,27721.72,30444.39,33193.62
Tanzania,2686.46,2690.92,2836.24,2989.95
Uganda,2344.98,2363.19,2467.9,2598.24
Ukraine,13345.38,13087.31,14219.79,15868.41
Uruguay,24238.13,23024.1,25048.72,29501.4
United States,65094.8,63027.68,69287.54,79681.64
Uzbekistan,7658.27,7746.43,8497.45,9387.74
Vietnam,10684.69,11022.96,11676.11,12544.13
Kosovo,11796.15,11292.86,13055.9,15825.52
South Africa,14436.83,13517.78,14624.42,17569.16
Zambia,3514.69,3358.01,3555.92,4067.19
Zimbabwe,2296.39,2099.32,2323.69,2942.2
