Mauritius,61.9,63.4,64.0,63.9,63.8,63.66,63.46
Mexico,64.6,65.1,65.8,65.8,65.8,65.8,65.8
Mongolia,53.8,57.8,59.9,60.3,60.26,60.14,59.91
Montenegro,65.2,66.2,66.6,67.0,67.11,67.22,67.34
Morocco,60.7,62.5,63.3,63.7,63.77,63.81,63.84
Mozambique,43.6,46.5,48.6,50.4,50.87,51.34,51.81
Myanmar,52.9,57.2,59.6,60.9,61.14,61.33,61.48
Namibia,46.6,52.9,54.6,56.1,56.49,56.89,57.3
Nepal,56.3,59.9,60.2,61.3,61.67,62.02,62.32
Netherlands,68.8,70.9,71.1,71.4,71.49,71.59,71.68
New Zealand,67.8,69.8,69.9,70.2,70.3,70.4,70.48
Nicaragua,63.7,64.7,65.2,65.5,65.56,65.62,65.66
Niger,44.2,51.9,54.1,55.5,55.8,56.08,56.33
Nigeria,46.5,51.5,53.1,54.4,54.73,55.06,55.39
Kosovo,63.2,64.9,65.3,66.1,66.36,66.61,66.86
Norway,68.4,70.2,71.2,71.4,71.38,71.32,71.2
Pakistan,52.3,54.5,55.8,56.9,57.18,57.47,57.76
Panama,67.2,67.5,68.3,68.7,68.77,68.81,68.84
Paraguay,65.0,65.2,65.6,65.8,65.83,65.86,65.87
Peru,64.9,67.5,68.8,69.5,69.63,69.73,69.81
Philippines,60.6,61.6,61.9,62.0,62.0,61.99,61.97
Poland,65.0,67.1,68.0,68.7,68.87,69.04,69.21
Portugal,66.8,69.3,70.5,71.0,71.06,71.08,71.05
Moldova,59.3,61.0,62.9,64.5,64.91,65.33,65.74
Romania,63.3,65.4,66.3,66.8,66.89,66.97,67.04
Russia,57.3,60.5,62.7,64.2,64.54,64.86,65.17
Rwanda,41.2,55.9,58.9,60.2,60.36,60.44,60.41
Saudi Arabia,61.2,62.2,63.2,64.0,64.2,64.4,64.6
Senegal,50.8,56.7,58.2,59.4,59.7,60.0,60.3
Serbia,63.4,65.7,66.4,66.9,67.02,67.13,67.24
Sierra Leone,42.2,47.8,49.7,52.9,53.9,54.92,55.92
Singapore,69.5,72.3,73.2,73.6,73.65,73.68,73.68
Slovakia,64.7,66.5,67.6,68.5,68.73,68.96,69.19
Slovenia,66.5,69.2,70.0,70.7,70.88,71.07,71.26
South Africa,48.5,49.6,54.1,56.2,56.51,56.7,56.76
Spain,69.1,71.0,71.6,72.1,72.23,72.36,72.49
Sri Lanka,63.0,64.2,66.6,67.0,66.96,66.84,66.62
Sweden,69.9,71.2,71.4,71.9,72.06,72.23,72.37
Switzerland,69.3,71.4,71.7,72.5,72.76,73.02,73.26
Palestinian Territories,62.8,65.1,56.3,62.9,66.4,70.54,75.28
Tajikistan,58.3,60.9,61.4,62.0,62.18,62.36,62.54
Thailand,62.6,67.1,68.0,68.3,68.31,68.28,68.21
Togo,48.9,52.0,54.2,56.2,56.73,57.27,57.82
Tunisia,64.8,66.3,66.7,66.9,66.93,66.96,66.97
Turkmenistan,56.6,60.1,61.7,62.1,62.06,61.93,61.7
Turkey,65.0,66.9,67.7,68.4,68.58,68.77,68.96
Uganda,42.5,52.1,56.3,58.2,58.46,58.61,58.63
Ukraine,59.7,62.2,63.8,64.3,64.31,64.24,64.08
United Arab Emirates,63.9,65.1,65.4,66.0,66.19,66.39,66.57
United Kingdom,67.6,69.4,69.7,70.1,70.22,70.34,70.47
Tanzania,45.4,53.4,56.7,58.5,58.83,59.1,59.31
United States,65.8,66.7,66.6,66.1,65.93,65.77,65.65
Uruguay,65.9,67.1,67.5,67.5,67.5,67.5,67.5
Uzbekistan,58.1,62.3,63.5,64.7,65.03,65.37,65.72
Venezuela,64.7,65.3,65.1,64.4,64.17,63.94,63.75
Vietnam,63.3,64.5,64.9,65.3,65.41,65.52,65.64
Yemen,54.5,58.6,58.4,57.5,57.2,56.91,56.68
Zambia,39.0,49.4,52.7,54.4,54.69,54.91,55.06
Zimbabwe,41.0,45.2,51.2,53.1,53.13,52.89,52.33
